Expediente,Fecha,Nombre,Link
CFP 6675/2021,14/06/2022,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 1,scp/include/showFile.php?acc=showFAR&id=10785721&tipo=corrupcion-administrativa
CFP 6675/2021,12/04/2022,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 1,scp/include/showFile.php?acc=showFAR&id=10582177&tipo=corrupcion-administrativa
CFP 6483/2021,29/12/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10379855&tipo=corrupcion-administrativa
CFP 6483/2021,02/12/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10314118&tipo=corrupcion-administrativa
CFP 5671/2021,19/09/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 8,scp/include/showFile.php?acc=showFAR&id=13987912&tipo=corrupcion-administrativa
CFP 5671/2021,08/08/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 8,scp/include/showFile.php?acc=showFAR&id=13840264&tipo=corrupcion-administrativa
CCC 5373/2021,20/10/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11144161&tipo=corrupcion-administrativa
CFP 5212/2021,15/11/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=10274877&tipo=corrupcion-administrativa
CFP 5196/2021,05/05/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10656976&tipo=corrupcion-administrativa
CFP 5115/2021,28/04/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11637495&tipo=corrupcion-administrativa
CFP 4513/2021,22/09/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=10142158&tipo=corrupcion-administrativa
CFP 4143/2021,19/08/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10052435&tipo=corrupcion-administrativa
CFP 3634/2021,30/08/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10986129&tipo=corrupcion-administrativa
CFP 3634/2021,29/08/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10980548&tipo=corrupcion-administrativa
CFP 3482/2021,28/12/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=12335743&tipo=corrupcion-administrativa
CFP 2565/2021,01/06/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=9893306&tipo=corrupcion-administrativa
CFP 1611/2021,13/10/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=10190987&tipo=corrupcion-administrativa
CFP 1611/2021,26/05/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=9877971&tipo=corrupcion-administrativa
CFP 1483/2021,18/05/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=9864298&tipo=corrupcion-administrativa
CFP 1363/2021,09/03/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11474498&tipo=corrupcion-administrativa
CFP 1135/2021,27/11/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=12251757&tipo=corrupcion-administrativa
CFP 1135/2021,17/08/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=10280269&tipo=corrupcion-administrativa
CFP 1114/2021,04/11/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=11198686&tipo=corrupcion-administrativa
CFP 1107/2021,02/03/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11451665&tipo=corrupcion-administrativa
CFP 1107/2021,18/08/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10948859&tipo=corrupcion-administrativa
CFP 1107/2021,04/08/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10908161&tipo=corrupcion-administrativa
CFP 1107/2021,21/07/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10885924&tipo=corrupcion-administrativa
